Requirements,Apache Cassandra,Apache HBase,Azure Cosmos DB,Google Cloud Bigtable,MariaDB,MySQL,PostgreSQL,Redis,ScyllaDB,TimescaleDB
Linux support on premise,1,1,0,0,1,1,1,1,1,1
,https://cassandra.apache.org/doc/latest/cassandra/getting_started/installing.html,https://hbase.apache.org/book.html#_introduction,Cloud Service,Cloud Service,https://mariadb.org/download,https://dev.mysql.com/doc/refman/8.0/en/linux-installation.html,https://www.postgresql.org/download/linux/,https://redis.io/docs/getting-started/installation/install-redis-on-linux/,https://docs.scylladb.com/stable/getting-started/install-scylla/scylla-web-installer.html,https://docs.timescale.com/self-hosted/latest/install/installation-linux/
"Linux Native Support
0 = JVM
1 = Native",0,0,0,0,1,1,1,1,1,1
,https://cassandra.apache.org/doc/latest/cassandra/getting_started/installing.html,https://hbase.apache.org/book.html#_introduction,Cloud Service,Cloud Service,https://mariadb.org/download,https://dev.mysql.com/doc/refman/8.0/en/linux-installation.html,https://www.postgresql.org/download/linux/,https://redis.io/docs/getting-started/installation/install-redis-on-linux/,https://docs.scylladb.com/stable/getting-started/install-scylla/scylla-web-installer.html,https://docs.timescale.com/self-hosted/latest/install/installation-linux/
Horizontal Scaling (Sharding),1,1,1,1,1,1,1,1,1,1
,"https://cassandra.apache.org/_/cassandra-basics.html
https://cassandra.apache.org/doc/latest/cassandra/architecture/dynamo.html",https://hbase.apache.org/book.html#_architecture,Cloud Service,Cloud Service,"https://mariadb.com/database-topics/scalability
https://mariadb.com/kb/en/mariadb-maxscale-6-simple-sharding-with-two-servers",https://www.mysql.com/products/cluster/scalability.html,"https://www.postgresql.org/docs/current/ddl-partitioning.html
https://www.percona.com/blog/an-overview-of-sharding-in-postgresql-and-how-it-relates-to-mongodbs
https://postgrespro.com/blog/pgsql/5969681",https://redis.io/docs/management/scaling,"https://www.scylladb.com/product/technology
https://www.scylladb.com/glossary/database-sharding","https://docs.timescale.com/self-hosted/latest/multinode-timescaledb
https://docs.timescale.com/use-timescale/latest/distributed-hypertables"
Horizontal Scaling (Replication),1,1,1,1,1,1,1,1,1,1
,"https://cassandra.apache.org/_/cassandra-basics.html
https://cassandra.apache.org/doc/latest/cassandra/architecture/dynamo.html
https://docs.datastax.com/en/cassandra-oss/3.0/cassandra/architecture/archDataDistributeReplication.html",https://hbase.apache.org/book.html#_architecture,Cloud Service,Cloud Service,"https://mariadb.com/database-topics/scalability
https://mariadb.com/kb/en/standard-replication",https://www.mysql.com/products/cluster/scalability.html,https://www.postgresql.org/docs/current/runtime-config-replication.html,https://redis.io/docs/management/replication,https://docs.scylladb.com/stable/architecture/architecture-fault-tolerance.html,"https://docs.timescale.com/self-hosted/latest/replication-and-ha/#replication-and-high-availability
https://docs.timescale.com/self-hosted/latest/replication-and-ha/configure-replication"
"Active Development
Alpha, Beta, RC not included
Score step 1: Arithmatic Average of release in 2021-2023
Score step 2: Arithmatic Average of Score step 1
Score step 3: If the score of a database is greater or equal to the score step 2 the score is 1 otherwise 0",24,31,,,48,32,54,15,21,30
,8.00,10.33333333,,,16,10.66666667,18,5,7,10
,0,0,1,1,1,1,1,0,0,0
,https://archive.apache.org/dist/cassandra/,https://archive.apache.org/dist/hbase,Corporate backed closed source development,Corporate backed closed source development,https://mariadb.com/kb/en/release-notes,https://dev.mysql.com/doc/relnotes/mysql/8.0/en,https://www.postgresql.org/docs/release,https://docs.redis.com/latest/rs/release-notes/,https://www.scylladb.com/product/release-notes,https://github.com/timescale/timescaledb/releases
"Community Support
Score: Mailing List + Stack Overflow + Slack + Official Forum / Chat",3,3,1,1,4,3,4,3,3,3
,1,1,0,0,1,1,1,1,1,1
,https://cassandra.apache.org/_/community.html,"https://hbase.apache.org/mail-lists.html
https://stackoverflow.com/questions/tagged/hbase
https://apache-hbase.slack.com",https://stackoverflow.com/questions/tagged/azure-cosmosdb,https://stackoverflow.com/questions/tagged/google-cloud-bigtable,"https://mariadb.com/kb/en/mailing-lists
https://stackoverflow.com/questions/tagged/mariadb
https://r.mariadb.com/join-community-slack
https://mariadb.zulipchat.com","https://stackoverflow.com/questions/tagged/mysql
http://mysqlcommunity.slack.com
https://forums.mysql.com",https://www.postgresql.org/community,https://redis.io/community/,https://www.scylladb.com/product/support/#community-support,https://www.timescale.com/community
"Active Community
Score step 1: Arithmatic Average of questions with accpeted answer in last 3 years
Score step 2: Arithmatic Average of Score step 1
Score step 3: If the score of a database is greater or equal to the score step 2 the score is 1 otherwise 0",412.6666667,48.66666667,438.3333333,26.66666667,842.33,"11,697.33","8,710.33",794.33,12.00,20.67
,0,0,0,0,0,1,1,0,0,0
,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags,https://data.stackexchange.com/stackoverflow/query/1752868/last-3-years-question-count-with-accepted-answer-for-specific-tags
Java API / Client / Driver,1,1,1,1,1,1,1,1,1,1
,https://cassandra.apache.org/doc/latest/cassandra/getting_started/drivers.html,https://hbase.apache.org/apidocs/index.html,https://learn.microsoft.com/en-gb/azure/cosmos-db/nosql/sdk-java-v4,https://cloud.google.com/bigtable/docs/reference/libraries#client-libraries-install-java,https://mariadb.com/kb/de/mariadb-java-client/,https://dev.mysql.com/doc/connector-j/8.0/en/connector-j-overview.html,https://jdbc.postgresql.org/,https://redis.io/docs/clients/java/,https://docs.scylladb.com/stable/using-scylla/drivers/cql-drivers/scylla-java-driver.html,https://docs.timescale.com/quick-start/latest/java/
Query Language,1,1,1,1,1,1,1,1,1,1
